f_int,f_int_err,f_peak,f_peak_err,ra,ra_err,decl,decl_err,det_sigma,band,freq_eff,taustart_ts,mjd
0.000161333,8.04E-05,0.000147986,4.26E-05,266.6709,0.003307971,-32.234,0.00280008,3.428110627,6,1283895508,05/09/2018 17:12,58366.71673
-4.49E-06,0.000209377,0.003250979,0.087550722,266.6709,0.054334343,-32.234,0.06208445,2.619647245,6,1283895508,08/09/2018 17:20,58369.72288
-5.77E-05,0.000124175,3.13E-05,3.89E-05,266.6709,0.003727573,-32.234,0.003218827,2.77469614,6,1283895508,14/09/2018 16:47,58375.69991
2.31E-05,4.85E-05,-1.09E-05,1.32E-05,266.6709,0.003483863,-32.234,0.003077148,2.905621928,6,1283895508,21/09/2018 16:19,58382.68014
2.24E-05,5.28E-05,-1.91E-05,2.61E-05,266.6709,0.003618279,-32.234,0.003161495,2.591669383,6,1283895508,28/09/2018 17:03,58389.7109
2.22E-05,5.20E-05,-1.10E-05,2.00E-05,266.6709,3.60E-03,-32.234,3.20E-03,2,6,1283895508,05/10/2018 15:53,58396.662
1.94E-05,5.13E-05,-2.58E-05,3.94E-05,266.6709,0.003610221,-32.234,0.003270029,2.80439658,6,1283895508,12/10/2018 15:05,58403.62859
0.000591888,5.88E-05,0.000589941,3.38E-05,266.6709,0.003284734,-32.234,0.00277855,17.94499095,6,1283895508,19/10/2018 14:03,58410.58608
-1.30E-05,4.89E-05,4.81E-05,0.000104315,266.6709,0.004142662,-32.234,0.00360086,2.45348686,6,1283895508,27/10/2018 12:09,58418.50633
0.000311291,5.06E-05,0.000308549,2.90E-05,266.6709,0.0032857,-32.234,0.002779479,11.05481079,6,1283895508,03/11/2018 11:34,58425.48205
4.77E-05,5.03E-05,3.00E-05,1.83E-05,266.6709,0.003360052,-32.234,0.002849079,2.782989168,6,1283895508,10/11/2018 11:05,58432.4624
