HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458363.665,2018-09-02.1634994,bg,1.54,16.013,15.872,0.193,1.719,0.302,V
2458363.667,2018-09-02.1647616,bg,1.61,15.961,15.646,0.164,2.116,0.317,V
2458363.668,2018-09-02.1660361,bg,1.95,99.99,99.99,99.99,99.99,99.99,V
2458364.659,2018-09-03.1571695,bk,2.18,16.956,15.979,0.089,1.474,0.12,g
2458364.66,2018-09-03.1583906,bk,2.19,16.995,15.919,0.081,1.558,0.116,g
2458364.661,2018-09-03.1596160,bk,2.19,17.013,16.099,0.094,1.32,0.114,g
2458365.662,2018-09-04.1599358,bg,1.41,15.961,15.598,0.157,2.212,0.317,V
2458365.663,2018-09-04.1611988,bg,1.44,16.087,15.799,0.168,1.837,0.282,V
2458365.664,2018-09-04.1624753,bg,1.4,16.014,15.465,0.132,2.499,0.302,V
2458366.663,2018-09-05.1611875,bg,1.51,15.919,15.476,0.146,2.475,0.33,V
2458366.664,2018-09-05.1624636,bg,1.5,16.046,15.912,0.194,1.657,0.293,V
2458366.665,2018-09-05.1637387,bg,1.5,15.941,15.59,0.158,2.23,0.323,V
2458367.604,2018-09-06.1029792,bg,1.56,16.197,15.836,0.157,1.776,0.255,V
2458367.606,2018-09-06.1042538,bg,1.52,16.077,15.69,0.153,2.032,0.285,V
2458367.607,2018-09-06.1055302,bg,1.54,16.002,15.549,0.144,2.314,0.305,V
2458368.635,2018-09-07.1341800,bg,1.52,15.944,15.944,99.99,1.504,0.322,V
2458368.637,2018-09-07.1354376,bg,1.49,16.124,15.804,0.163,1.829,0.273,V
2458368.638,2018-09-07.1367030,bg,1.53,15.996,15.682,0.164,2.048,0.307,V
2458369.648,2018-09-08.1467960,bg,2.16,15.918,15.494,0.148,2.434,0.33,V
2458369.649,2018-09-08.1480702,bg,2.18,15.815,15.347,0.142,2.787,0.363,V
2458369.651,2018-09-08.1493434,bg,2.16,15.802,15.683,0.197,2.045,0.367,V
2458370.582,2018-09-09.0804958,bg,1.54,15.995,15.306,0.116,2.895,0.307,V
2458370.583,2018-09-09.0817651,bg,1.96,15.892,15.68,0.18,2.052,0.338,V
2458370.584,2018-09-09.0830420,bg,1.53,16.088,15.716,0.156,1.984,0.282,V
2458371.625,2018-09-10.1242283,bg,1.53,16.124,15.665,0.144,2.08,0.273,V
2458371.628,2018-09-10.1268010,bg,1.47,16.145,15.747,0.152,1.928,0.267,V
