runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
1,0.502486904078994,0.127213352668348,0.000561604971232948,0.000437907871962909,0.000464607260293123,8,N,267.26791862336,0.000982820576043731,-32.2532903448017,0.000982820576043731
2,3.49949207029537,0.128892604404398,0.00191842986909953,0.00140305294440769,0.00146630384181976,10,N,267.234119192467,0.000878571888176153,-32.1303825212836,0.000878571888176153
3,17.478060195912,0.244259464101585,0.00191842986909953,0.00139550448345512,0.0013763079777691,10,N,267.233782072541,0.000878635331338911,-32.1300918182462,0.000878635331338911
4,2.94690234827903,0.432258613036763,0.000913933985044865,0.000379302592576853,0.000465528753062444,1,N,267.225731391364,0.00278022371703322,-32.3749459177225,0.00278022371703322
5,0.839934078874329,0.116638508228952,0.000549459012887715,0.000517822826467927,0.000490218599970871,9,N,267.22654699683,0.000926614679863265,-32.2505240120959,0.000926614679863265
6,3.06255135306956,0.208375993928184,0.00136904748170122,0.000824722328347494,0.000892596003601754,10,N,267.204467161153,0.00087882184458451,-32.1663658685775,0.00087882184458451
7,0.913521499558547,0.0966294090256224,0.000585572475640622,0.000530297070123235,0.000528734311143161,9,N,267.173604548403,0.000926326419956672,-31.8829634585563,0.000926326419956672
8,1.57261966315524,0.130212841521978,0.00152218836609486,0.00107916266437761,0.00113149912234928,10,N,267.17259996226,0.00087872394481498,-32.1874162428613,0.00087872394481498
9,13.3927348272457,0.100251613629314,0.0110664366429992,0.00846563351441291,0.00884431841438725,10,N,267.170292044772,0.000878480361403863,-32.0324095198975,0.000878480361403863
10,6.6674814822386,0.23569829398763,0.00152218836609486,0.00106133898220208,0.00106604103088278,10,N,267.172278396529,0.000878860891927258,-32.1871131341626,0.000878860891927258
11,37.9427741919813,0.306315352709968,0.0093639597361164,0.00841378736656199,0.00746005862628115,10,N,267.169727386868,0.000879121894073467,-32.0318049245823,0.000879121894073467
12,1.25829394361339,0.19345052773178,0.000639386544882886,0.000499180644915948,0.000501335752245922,9,N,267.158224141129,0.000926502592763666,-32.1570731658006,0.000926502592763666
13,1.68291183314672,0.180528590431547,0.000824647507087522,0.000583882117302951,0.000641037371958055,9,N,267.135158551724,0.000926438849567946,-32.3819069206264,0.000926438849567946
14,0.437217212008236,0.149762672633387,0.000403146734313184,0.000308419113347319,0.00031815668633342,6,N,267.116722334085,0.00113566892705016,-31.9170249628703,0.00113566892705016
15,1.62663030290778,0.310800937767497,0.000493801775289808,0.000272863304111341,0.000302221213699775,7,N,267.112111090403,0.00105149266878162,-31.9123077030508,0.00105149266878162
16,0.506039909951777,0.0918644894281629,0.000959611953438181,0.00078790732001616,0.000799549548918607,9,N,267.111437484476,0.000926403706973683,-32.4593859579872,0.000926403706973683
17,0.574154445266305,0.215387069865259,0.000289092224239621,0.000210849607339923,0.000206066648586098,3,N,267.103364347684,0.00160705314193858,-31.8175793052699,0.00160705314193858
18,1.09513400541799,0.260289357402052,0.000656021381187488,0.000421480233163413,0.000462219160849364,8,N,267.105556772066,0.00098340019682102,-32.4949351966762,0.00098340019682102
19,3.61593581807873,0.149844891040813,0.00130194319517312,0.00109866251842473,0.00108936219238669,6,N,267.097873589519,0.00113556921022102,-32.0989703795771,0.00113556921022102
